 ,Label,Area,Mean,Min,Max,X,Y
1,,63691968.996,255,255,255,4505.644,4493.932
2,,60.872,255,255,255,4191.441,2.252
3,,20.291,255,255,255,4822.072,2.252
4,,20.291,255,255,255,4128.378,6.757
5,,81.162,255,255,255,4153.153,9.009
6,,81.162,255,255,255,4175.676,9.009
7,,20.291,255,255,255,4880.631,6.757
8,,20.291,255,255,255,4078.829,11.261
9,,20.291,255,255,255,4934.685,11.261
10,,20.291,255,255,255,4033.784,15.766
11,,20.291,255,255,255,4979.730,15.766
12,,20.291,255,255,255,3993.243,20.270
13,,20.291,255,255,255,5020.270,20.270
14,,20.291,255,255,255,3957.207,24.775
15,,40.581,255,255,255,4216.216,24.775
16,,20.291,255,255,255,5056.306,24.775
17,,20.291,255,255,255,3921.171,29.279
18,,40.581,255,255,255,4445.946,29.279
19,,20.291,255,255,255,5092.342,29.279
20,,20.291,255,255,255,3885.135,33.784
21,,40.581,255,255,255,4409.910,33.784
22,,40.581,255,255,255,4540.541,33.784
23,,40.581,255,255,255,4981.982,33.784
24,,20.291,255,255,255,5123.874,33.784
25,,20.291,255,255,255,3853.604,38.288
26,,40.581,255,255,255,4324.324,38.288
27,,40.581,255,255,255,4932.432,38.288
28,,20.291,255,255,255,5155.405,38.288
29,,20.291,255,255,255,3826.577,42.793
30,,20.291,255,255,255,5186.937,42.793
31,,20.291,255,255,255,3795.045,47.297
32,,40.581,255,255,255,4567.568,47.297
33,,20.291,255,255,255,5213.964,47.297
34,,20.291,255,255,255,3768.018,51.802
35,,40.581,255,255,255,4117.117,51.802
36,,81.162,255,255,255,4495.495,54.054
37,,20.291,255,255,255,5245.495,51.802
38,,20.291,255,255,255,3740.991,56.306
39,,40.581,255,255,255,4040.541,56.306
40,,20.291,255,255,255,5272.523,56.306
41,,20.291,255,255,255,3713.964,60.811
42,,40.581,255,255,255,3846.847,60.811
43,,40.581,255,255,255,4472.973,60.811
44,,40.581,255,255,255,5063.063,60.811
45,,40.581,255,255,255,5283.784,60.811
46,,20.291,255,255,255,5295.045,60.811
47,,20.291,255,255,255,3691.441,65.315
48,,81.162,255,255,255,4765.766,67.568
49,,20.291,255,255,255,5322.072,65.315
50,,20.291,255,255,255,3664.414,69.820
51,,40.581,255,255,255,3675.676,69.820
52,,20.291,255,255,255,5344.595,69.820
53,,20.291,255,255,255,3641.892,74.324
54,,40.581,255,255,255,3725.225,74.324
55,,20.291,255,255,255,5367.117,74.324
56,,20.291,255,255,255,3619.369,78.829
57,,40.581,255,255,255,3684.685,78.829
58,,40.581,255,255,255,3779.279,78.829
59,,40.581,255,255,255,5148.649,78.829
60,,20.291,255,255,255,5389.640,78.829
61,,20.291,255,255,255,3596.847,83.333
62,,40.581,255,255,255,4463.964,83.333
63,,40.581,255,255,255,5274.775,83.333
64,,20.291,255,255,255,5412.162,83.333
65,,20.291,255,255,255,3574.324,87.838
66,,20.291,255,255,255,5434.685,87.838
67,,20.291,255,255,255,3556.306,92.342
68,,40.581,255,255,255,5351.351,92.342
69,,20.291,255,255,255,5457.207,92.342
70,,20.291,255,255,255,3533.784,96.847
71,,40.581,255,255,255,4545.045,96.847
72,,20.291,255,255,255,5475.225,96.847
73,,121.743,255,255,255,3512.012,106.607
74,,40.581,255,255,255,5391.892,101.351
75,,20.291,255,255,255,5497.748,101.351
76,,20.291,255,255,255,3493.243,105.856
77,,40.581,255,255,255,3855.856,105.856
78,,40.581,255,255,255,4148.649,105.856
79,,40.581,255,255,255,4369.369,105.856
80,,40.581,255,255,255,5243.243,105.856
81,,40.581,255,255,255,5333.333,105.856
82,,60.872,255,255,255,5371.622,105.856
83,,20.291,255,255,255,5515.766,105.856
84,,20.291,255,255,255,3475.225,110.360
85,,20.291,255,255,255,5538.288,110.360
86,,20.291,255,255,255,3457.207,114.865
87,,40.581,255,255,255,4441.441,114.865
88,,40.581,255,255,255,5490.991,114.865
89,,20.291,255,255,255,5556.306,114.865
90,,20.291,255,255,255,3439.189,119.369
91,,40.581,255,255,255,5144.144,119.369
92,,40.581,255,255,255,5279.279,119.369
93,,20.291,255,255,255,5574.324,119.369
94,,20.291,255,255,255,3421.171,123.874
95,,40.581,255,255,255,5013.514,123.874
96,,40.581,255,255,255,5486.486,123.874
97,,20.291,255,255,255,5592.342,123.874
98,,20.291,255,255,255,3403.153,128.378
99,,40.581,255,255,255,4436.937,128.378
100,,20.291,255,255,255,5610.360,128.378
101,,20.291,255,255,255,3385.135,132.883
102,,20.291,255,255,255,5628.378,132.883
103,,20.291,255,255,255,3367.117,137.387
104,,40.581,255,255,255,4405.405,137.387
105,,121.743,255,255,255,4442.943,138.889
106,,20.291,255,255,255,5646.396,137.387
107,,20.291,255,255,255,3349.099,141.892
108,,20.291,255,255,255,5664.414,141.892
109,,20.291,255,255,255,3331.081,146.396
110,,81.162,255,255,255,4612.613,148.649
111,,40.581,255,255,255,5076.577,146.396
112,,81.162,255,255,255,5295.045,148.649
113,,20.291,255,255,255,5677.928,146.396
114,,20.291,255,255,255,3317.568,150.901
115,,40.581,255,255,255,3648.649,150.901
116,,40.581,255,255,255,4148.649,150.901
117,,40.581,255,255,255,4351.351,150.901
118,,40.581,255,255,255,4549.550,150.901
119,,20.291,255,255,255,5695.946,150.901
120,,20.291,255,255,255,3299.550,155.405
121,,40.581,255,255,255,3450.450,155.405
122,,40.581,255,255,255,3545.045,155.405
123,,40.581,255,255,255,4252.252,155.405
124,,40.581,255,255,255,4509.009,155.405
125,,40.581,255,255,255,5405.405,155.405
126,,20.291,255,255,255,5713.964,155.405
127,,20.291,255,255,255,3281.532,159.910
128,,20.291,255,255,255,5727.477,159.910
129,,20.291,255,255,255,3268.018,164.414
130,,20.291,255,255,255,5745.495,164.414
131,,20.291,255,255,255,3250.000,168.919
132,,20.291,255,255,255,5759.009,168.919
133,,20.291,255,255,255,3236.486,173.423
134,,60.872,255,255,255,4925.676,173.423
135,,20.291,255,255,255,5777.027,173.423
136,,20.291,255,255,255,3222.973,177.928
137,,20.291,255,255,255,5790.541,177.928
138,,20.291,255,255,255,3204.955,182.432
139,,162.324,255,255,255,4361.486,186.937
140,,20.291,255,255,255,5804.054,182.432
141,,20.291,255,255,255,3191.441,186.937
142,,20.291,255,255,255,5822.072,186.937
